Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H0,2015,2015,2015,2,0,3,Re-Export,716,Zimbabwe,ZWE,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,0,,11455,,,0
H0,2015,2015,2015,2,0,1,Import,724,Spain,ESP,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,,,42650042470,,,4
H0,2015,2015,2015,2,0,2,Export,724,Spain,ESP,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,,,13987626733,,,4
H0,2015,2015,2015,2,0,3,Re-Export,724,Spain,ESP,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,0,,3414,,,0
H0,2015,2015,2015,2,0,4,Re-Import,724,Spain,ESP,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,0,,238465965,,,0
H0,2015,2015,2015,2,0,1,Import,729,Sudan,SDN,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,,,,,222420681,,,0
H0,2015,2015,2015,2,0,2,Export,729,Sudan,SDN,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,,,,,,,3000499379,,,0
H0,2015,2015,2015,2,0,1,Import,740,Suriname,SUR,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,0,,265154942,,,4
H0,2015,2015,2015,2,0,2,Export,740,Suriname,SUR,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,0,,13769,,,0
H0,2015,2015,2015,2,0,1,Import,748,Eswatini,SWZ,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,0,,177778265,,,4
H0,2015,2015,2015,2,0,2,Export,748,Eswatini,SWZ,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,0,,14103034,,,4
H0,2015,2015,2015,2,0,1,Import,752,Sweden,SWE,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,,,13516604984,,,4
H0,2015,2015,2015,2,0,2,Export,752,Sweden,SWE,0,World,WLD,,,,,,,,27,"Mineral fuels, oils, distillation products, etc",1,No Quantity,0,,,,,,8649075219,,,4
